GlobalXbin    GlobalYbin    Z
6    27    0.0008410648275956541
6    28    0.001041536611545963
6    29    0.0004490815222969138
6    30    0.0004648500043993071
6    31    0.0005027207010494836
6    32    0.0005403939048790703
6    33    0.0005582654114125016
6    34    0.0005834934030234976
6    35    0.0006107733327986425
6    36    0.0006569366858841402
6    37    0.0007180990458842791
6    38    0.0008138809020344219
6    39    0.0009249772124364157
6    40    0.001053834016144842
6    41    0.001173102546301606
6    42    0.001322388366239198
6    43    0.001466843647560556
6    44    0.0007000652991586441
6    45    0.0007189583380663219
6    46    0.0007762452303418042
6    47    0.000853287120445533
6    48    0.0008906401564058964
6    49    0.0009091255171370914
6    50    0.0009086729680734055
6    51    0.0009419725429112743
6    52    0.0009690249727501277
6    53    0.000984475378361336
6    54    0.001023529323377702
6    55    0.001130384291150133
6    56    0.001311062784699794
6    57    0.001529889031102928
6    58    0.001770470180841421
6    59    0.002111087557929592
6    60    0.002555797404551589
6    61    0.002845520517665885
6    62    0.001577787708694654
6    63    0.0007872808433891539
6    64    8.903939098653193e-05
6    65    0.002021414882184268
6    66    0.001475989176967961
6    67    0.001452823680937231
6    68    0.0005105955673336201
6    69    0.0001905687615290766
6    70    0.003339551544346245
6    71    0.003785939172234785
6    72    0.003336930619140145
6    73    0.002831584759955512
6    74    0.002165851073563706
6    75    0.00153960017521521
6    76    0.001110107541803259
6    77    0.0007338928106092149
6    78    0.002513427816107252
6    79    0.003388324793288267
6    80    0.003751719529408741
6    81    0.003766427974508733
6    82    0.003190963242641168
6    83    0.002399448628822267
6    84    0.001466401763501999
7    0    0.001341837698100733
7    1    0.0008389977614527334
7    2    -0.0004341762080052525
7    3    0.001221241488063638
7    4    0.001915090485057078
7    5    0.0003511490280892472
7    6    0.00388808230853495
7    7    0.01610591839236414
7    8    0.003894740494209819
7    9    0.004097039410973024
7    10    0.001417959348804244
7    11    0.0008896441137082803
7    12    0.004749703248412241
7    13    0.01502303521663691
7    14    0.00898648485114072
7    15    0.003749215251958996
7    16    0.004921062324163644
7    17    0.005393048352054359
7    18    0.003734225606327719
7    19    0.001740263075633679
7    20    0.0008753041452877959
7    21    0.0002793277273827555
7    22    0.0003925483095621537
7    23    0.0005465660585450124
7    24    0.000732975633121358
7    25    0.0009263061408455983
7    26    0.001168606982582786
7    27    0.001463705433409578
7    28    0.001789637401867579
7    29    0.0007587164190879319
7    30    0.0007741281006749932
7    31    0.0008147426392019215
7    32    0.0008587259901977526
7    33    0.0008815605277585451
7    34    0.0009140534919391592
7    35    0.0009446234137050838
7    36    0.001015151283793095
7    37    0.001115932737239631
7    38    0.001266060702427218
7    39    0.001434889317558513
7    40    0.001635567093530618
7    41    0.001828031135453439
7    42    0.00206715535728426
7    43    0.002290068728384087
7    44    0.001065441687430203
7    45    0.001090441627109148
7    46    0.001152371677635295
7    47    0.001234740631825931
7    48    0.001271171761516233
7    49    0.001297855899981265
7    50    0.001309429339935169
7    51    0.001377349488136205
7    52    0.001448880654894685
7    53    0.001519307631325387
7    54    0.001621777985407042
7    55    0.001802600770358702
7    56    0.002084174698447943
7    57    0.002443494553448662
7    58    0.002856800913700745
7    59    0.003406969256293081
7    60    0.004093088526575406
7    61    0.004496275965111186
7    62    0.004105259317229743
7    63    0.0008543001583552797
7    64    0.0001604433977454098
7    65    0.003200656439552323
7    66    0.004193420958688225
7    67    0.001693741127070194
7    68    0.001451218454615852
7    69    0.0002767499961432104
7    70    0.002979145342333003
7    71    0.004489536431763644
7    72    0.004692519496262178
7    73    0.004656460508686152
7    74    0.004763793305957518
7    75    0.004115116353562711
7    76    0.002725003065052303
7    77    0.0009171041957430556
7    78    0.002809226304065365
7    79    0.004971117822569869
7    80    0.006806317921264112
7    81    0.008193280692045815
7    82    0.007317160832179715
7    83    0.004848981428457247
7    84    0.001731778776184273
8    0    0.0005454138448776862
8    1    0.001197099145448228
8    2    0.001511476327766303
8    3    0.0006672243858622626
8    4    0.0002454415667591328
8    5    0.0003411956432320677
8    6    0.004199208536149191
8    7    0.003894740494209821
8    8    0.007272533387798875
8    9    0.003085618325027709
8    10    0.002066736649003299
8    11    0.0005111236489251676
8    12    0.004503649258901826
8    13    0.006890349957835128
8    14    0.009577661497782662
8    15    0.007637036934456905
8    16    0.00391815905930381
8    17    0.002703151126305827
8    18    0.003070503903177983
8    19    0.002215844755627913
8    20    0.0003579286802697893
8    21    0.0003809011090597732
8    22    0.0004547784770847056
8    23    0.0005297746091027072
8    24    0.0006045309638338252
8    25    0.0006515475484387677
8    26    0.0007048894539766776
8    27    0.0007817286156103948
8    28    0.0008916838107088234
8    29    0.0005006576813949892
8    30    0.0005297167757435526
8    31    0.0005880078420452785
8    32    0.0006632923476480465
8    33    0.0007325948299148215
8    34    0.0008149027959230798
8    35    0.0008934386887445762
8    36    0.0009971622913775302
8    37    0.001111828348070833
8    38    0.001260751854423147
8    39    0.001427636288949325
8    40    0.001624906575301039
8    41    0.001796577254890821
8    42    0.001985415999925965
8    43    0.002152598407860026
8    44    0.0007809797195842747
